mode,device_id,gpu_name,compute_capability,precision,input_type,accumulator_type,output_type,m,n,k,median_ms,p90_ms,throughput,unit,best,validation,status,algorithm,workspace_bytes,message
isolated,2,NVIDIA GeForce RTX 5090,12.0,nvfp4,FP4_E2M1,FP32,BF16,8192,8192,8192,0.684192,0.687104,1607.022042,TFLOPS,True,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,2,NVIDIA GeForce RTX 5090,12.0,nvfp4,FP4_E2M1,FP32,BF16,16384,16384,16384,5.507168,5.592672,1597.208096,TFLOPS,False,PASS,OK,cuBLASLt NVFP4 block-scaled (VEC16_UE4M3) layout=TN,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,2,NVIDIA GeForce RTX 5090,12.0,int16,INT16,INT32,INT32,2048,2048,2048,1.701632,1.708960,10.096113,TOPS,False,PASS,OK,custom tiled 16x16 CUDA Core GEMM,0,"actual=2048, expected=2048, tolerance=1e-06; custom CUDA Core result, not an INT16 Tensor Core specification"
isolated,2,NVIDIA GeForce RTX 5090,12.0,int16,INT16,INT32,INT32,4096,4096,4096,13.482656,13.491392,10.193760,TOPS,True,PASS,OK,custom tiled 16x16 CUDA Core GEMM,0,"actual=4096, expected=4096, tolerance=1e-06; custom CUDA Core result, not an INT16 Tensor Core specification"
isolated,2,NVIDIA GeForce RTX 5090,12.0,int16,INT16,INT32,INT32,8192,8192,8192,115.157181,115.282784,9.547921,TOPS,False,PASS,OK,custom tiled 16x16 CUDA Core GEMM,0,"actual=8192, expected=8192, tolerance=1e-06; custom CUDA Core result, not an INT16 Tensor Core specification"
isolated,2,NVIDIA GeForce RTX 5090,12.0,fp16,FP16,FP32,FP16,4096,4096,4096,0.594624,0.596640,231.135907,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,2,NVIDIA GeForce RTX 5090,12.0,fp16,FP16,FP32,FP16,8192,8192,8192,4.478144,4.485408,245.528412,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,2,NVIDIA GeForce RTX 5090,12.0,fp16,FP16,FP32,FP16,16384,16384,16384,34.961983,34.972672,251.590223,TFLOPS,True,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,2,NVIDIA GeForce RTX 5090,12.0,bf16,BF16,FP32,BF16,4096,4096,4096,0.597856,0.600992,229.886389,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=1024, expected=1024, tolerance=30.72"
isolated,2,NVIDIA GeForce RTX 5090,12.0,bf16,BF16,FP32,BF16,8192,8192,8192,4.482784,4.488256,245.274293,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=2048, expected=2048, tolerance=61.44"
isolated,2,NVIDIA GeForce RTX 5090,12.0,bf16,BF16,FP32,BF16,16384,16384,16384,34.996799,35.002880,251.339927,TFLOPS,True,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,0,"actual=4096, expected=4096, tolerance=122.88"
isolated,2,NVIDIA GeForce RTX 5090,12.0,tf32,FP32,FP32,FP32,4096,4096,4096,1.233120,1.235584,111.456271,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,4096,"actual=1024, expected=1024, tolerance=30.72"
isolated,2,NVIDIA GeForce RTX 5090,12.0,tf32,FP32,FP32,FP32,8192,8192,8192,9.036288,9.043136,121.677352,TFLOPS,False,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,16384,"actual=2048, expected=2048, tolerance=61.44"
isolated,2,NVIDIA GeForce RTX 5090,12.0,tf32,FP32,FP32,FP32,12288,12288,12288,29.736929,29.748064,124.789340,TFLOPS,True,PASS,OK,cuBLASLt algo 21 layout=NN per-tensor scale,18432,"actual=3072, expected=3072, tolerance=92.16"
